target,model,cv_r2,cv_rmse,cv_mae,test_r2,test_rmse,test_mae,test_mape_percent,is_best_for_target
height,LinearRegression,0.5738534618661403,4.115613995262786,3.4597619201068985,0.5329991840906723,4.372929899900889,3.601033669467175,11.364076387995754,False
height,Ridge_a0.1,0.5849243659486149,4.064715220317427,3.4300437185552797,0.5351797695077942,4.362708606826681,3.5908056149723735,11.32872688036862,False
height,Ridge_a1.0,0.5916440767775966,4.032292539240386,3.4169184615654813,0.5386866330254372,4.3462200927001975,3.5849233463682753,11.31451069875175,False
height,Ridge_a10.0,0.5941081127883509,4.022187283072101,3.451548850183903,0.550830056272388,4.2886345461914095,3.570665426177784,11.34904578527281,False
height,RandomForest_400,0.9650600112429002,1.1826147287605795,0.8607440422322664,0.9909245350849418,0.6096044616055103,0.4834531249999802,1.5085834444377006,False
height,ExtraTrees_500,0.9855702478526573,0.7367627417315055,0.4615976923076827,0.9958796973640031,0.41075064478036505,0.28417968749999845,0.8640404216109158,True
height,GradientBoosting_400,0.9263714563230501,1.7026173789682038,1.292025858088638,0.9528929521736181,1.3888541467233961,1.1099511581286103,3.6116624313396213,False
length,LinearRegression,0.1564382494641086,10.949650692356169,8.79620343141297,0.24050630825005148,10.835840353101316,8.271788500216791,21.7405019297688,False
length,Ridge_a0.1,0.16595237981177496,10.888630422545472,8.768578292608062,0.2478788176485215,10.783119605221845,8.202214405598934,21.606005434750088,False
length,Ridge_a1.0,0.17901153869584835,10.807513706355792,8.717291615355194,0.24870456082579429,10.777198662617756,8.197130870533286,21.60370959749937,False
length,Ridge_a10.0,0.19248354414432262,10.728154105635785,8.632759732733142,0.2452108128443914,10.802228192540845,8.194223269178297,21.68516441474172,False
length,RandomForest_400,0.9922759768592266,1.022256973180823,0.7724065422322709,0.9975623478515601,0.6138840906537527,0.41906249999997836,0.8935713640678513,True
length,ExtraTrees_500,0.8680815130966704,4.290425120933795,3.010364298642551,0.9508705563156961,2.7559506438908614,1.9821703125000028,4.6481177440715715,False
length,GradientBoosting_400,0.9307187280476121,3.08995796351092,2.4855047425664503,0.9269529637639845,3.3604838474600593,2.487938431569187,5.164629941419112,False
weight,LinearRegression,0.6370200917878414,6.4066808678322005,4.696684503793496,0.5300570630734394,7.1806053144746596,5.132262234620013,28.617827653802262,False
weight,Ridge_a0.1,0.6410920022528593,6.3703642323866605,4.665294161100531,0.5305162319341943,7.177096467042078,5.125272822078957,28.48519492078374,False
weight,Ridge_a1.0,0.6466362635678833,6.326643035696112,4.654491335407229,0.532861372136379,7.159148701895037,5.1262312554131775,28.483848760858844,False
weight,Ridge_a10.0,0.6527204339731505,6.2826990585488405,4.629639320962515,0.5380261922889675,7.119461887565538,5.115018890515448,28.3013290664491,False
weight,RandomForest_400,0.8550222631080242,3.893580644525405,2.611809766214178,0.899314825413214,3.323695710173861,2.41751953125,13.016277594596781,False
weight,ExtraTrees_500,0.9274264933770334,2.8511496612383356,2.003122624434389,0.9611049058753371,2.0657887416190457,1.4144999999999999,8.597478608533748,True
weight,GradientBoosting_400,0.839126056701746,4.168893284168244,2.728293747768933,0.9004109370365205,3.3055544538064967,2.4293600312484083,12.975739309179263,False
leaves,LinearRegression,0.7665339229150269,69.51972839370099,54.941659810057146,0.7005938288344724,71.21779374556772,57.009150458743775,40.28437877221752,False
leaves,Ridge_a0.1,0.7689832886693576,69.17981351756517,54.295756764227704,0.7036945016246854,70.84806561148424,56.25029697821852,39.52372660116028,False
leaves,Ridge_a1.0,0.7707634576357376,68.99010702812754,54.16234080974756,0.7057882389592873,70.59731053965366,55.85511044533987,39.2052930418124,False
leaves,Ridge_a10.0,0.762150384593977,70.35690195389807,54.994264995510626,0.7021748004917436,71.02951716475353,55.85838101479247,39.282950442267314,False
leaves,RandomForest_400,0.9739390044265676,23.074969268228546,18.230361802413274,0.977624024935701,19.469245726283045,15.642011718749998,11.773532117600096,True
leaves,ExtraTrees_500,0.9668182843734916,25.961626014753403,19.665270739064855,0.9711115580789098,22.121786742654855,16.8083125,13.591826153282005,False
leaves,GradientBoosting_400,0.9714012520545433,24.321876535982213,19.341455064241664,0.9680528231288199,23.26346410287179,18.53116768143687,14.124709856449936,False
branches,LinearRegression,0.678536620910246,8.215177496521697,6.504544904013363,0.6049334833441362,8.402104088722298,6.352301371879357,31.225740634683486,False
branches,Ridge_a0.1,0.6806284282777566,8.187841661974865,6.462305132025395,0.6047877629536751,8.403653505031352,6.3505027975137995,31.35610105370128,False
branches,Ridge_a1.0,0.6833034387263166,8.156737166190824,6.451747615264473,0.6045506664125637,8.40617389565802,6.358017742365508,31.38903854043815,False
branches,Ridge_a10.0,0.6871269612851395,8.113730476112318,6.455328102008953,0.6048508966109465,8.402982252321234,6.3706534521438645,31.397720503897876,False
branches,RandomForest_400,0.8557147081724958,5.476125510461069,4.203039592760181,0.8701081734265352,4.817745538144631,3.64109375,18.12046952547942,False
branches,ExtraTrees_500,0.8567275149210778,5.4253669000329126,4.109309351432881,0.9096179849007495,4.018777441585936,2.709875,14.154640334027773,True
branches,GradientBoosting_400,0.8344178714489224,5.842616218635142,4.549064349234515,0.8133635043358983,5.774989934069624,4.509725247887685,25.04539933036299,False
