target,model,cv_r2,cv_rmse,cv_mae
height,ExtraTrees_300,0.945030845337587,1.2064315166003354,0.9390833333333308
height,ExtraTrees_500_depth16,0.9450272533522022,1.2064460566455797,0.9393062499999871
height,ExtraTrees_700_depth20,0.9450155022790592,1.2065612546438103,0.9393303571428533
height,RandomForest_400,0.9340436466866494,1.3479596499553181,1.1038333333333266
height,RandomForest_600_depth18,0.9337793090465084,1.3529265618061461,1.1090755208333258
height,GradientBoosting_600,0.9296958914458769,1.3731260584765081,1.0616476962619028
height,GradientBoosting_900,0.9299172273571403,1.365748603451328,1.0585438263094658
height,Ridge_0.1,0.6180476109920912,3.344112249510771,2.726555398735657
height,Ridge_1.0,0.622516752293661,3.328240325596342,2.7845889024423767
height,ElasticNet_weak,0.6191249448300593,3.339594560380113,2.7229877168661467
length,ExtraTrees_300,0.9882076991636148,1.248421210137537,1.0971388888888887
length,ExtraTrees_500_depth16,0.9882578339581426,1.2457619084337117,1.094397916666734
length,ExtraTrees_700_depth20,0.9882752560085346,1.2447477230742048,1.0937046130953716
length,RandomForest_400,0.983398830263421,1.4827571237275934,1.340196614583361
length,RandomForest_600_depth18,0.9834301149073131,1.481532153823445,1.3366388888889789
length,GradientBoosting_600,0.9876177704126295,1.281576649431722,1.0948536724901181
length,GradientBoosting_900,0.9855596912828519,1.3852632432468757,1.1966636296405233
length,Ridge_0.1,0.20616136387012937,10.272788277638472,7.896032649747324
length,Ridge_1.0,0.20540978154166772,10.277649835268786,7.88590315269137
length,ElasticNet_weak,0.2060547742865793,10.273480159332733,7.893489661545139
weight,ExtraTrees_300,0.2087207363817748,3.5789884232094056,2.830625
weight,ExtraTrees_500_depth16,0.21098797768464886,3.574053499226065,2.826427083333333
weight,ExtraTrees_700_depth20,0.21230021399388949,3.5728198467883123,2.8255133928571428
weight,RandomForest_400,0.16550454375714316,3.718910578680986,2.928203125
weight,RandomForest_600_depth18,0.16563740610342104,3.716436229748987,2.9268229166666666
weight,GradientBoosting_600,0.2196175603204888,3.588231154483257,2.828753768336689
weight,GradientBoosting_900,0.2219592502567882,3.5927261310352954,2.8240129644629994
weight,Ridge_0.1,-0.05156778544036528,4.760678676623642,4.030004401241352
weight,Ridge_1.0,-0.004867398204839141,4.67157826022864,3.9436564468129216
weight,ElasticNet_weak,-0.060628088515969375,4.769850262760607,4.037072396763394
leaves,ExtraTrees_300,0.34232566958174127,43.153725349359405,34.693263888888886
leaves,ExtraTrees_500_depth16,0.3431248300370917,43.15366041213321,34.71638541666667
leaves,ExtraTrees_700_depth20,0.34246210020424894,43.164747088670474,34.71630208333333
leaves,RandomForest_400,0.3104068430164103,44.08431950134465,35.51454427083333
leaves,RandomForest_600_depth18,0.30816876731512954,44.15259254276389,35.58448784722223
leaves,GradientBoosting_600,0.3595866405065545,42.06941176440536,33.39935152037522
leaves,GradientBoosting_900,0.38353595785966943,41.44481312489118,32.86631772929547
leaves,Ridge_0.1,0.21492873641456067,46.3344840001393,38.24936628766371
leaves,Ridge_1.0,0.1565740964113339,48.35487229482394,38.76024532119729
leaves,ElasticNet_weak,0.2110665417014374,46.490431775624614,38.21483796873126
branches,ExtraTrees_300,0.5480517341273247,4.812908780866287,3.7546527777777774
branches,ExtraTrees_500_depth16,0.5485312140528846,4.815401660259413,3.7591874999999995
branches,ExtraTrees_700_depth20,0.5490799825267819,4.81126348087027,3.753995535714285
branches,RandomForest_400,0.45597928244637426,5.472181226199385,4.274674479166666
branches,RandomForest_600_depth18,0.4577489382020137,5.459579647575113,4.269913194444444
branches,GradientBoosting_600,0.5167695539625209,5.126621662501728,4.043316543976789
branches,GradientBoosting_900,0.5329751978309247,4.961597692830335,3.8756157867129026
branches,Ridge_0.1,0.05651192320534215,7.575862974876894,6.494287571548327
branches,Ridge_1.0,0.045278861179452984,7.60837008891749,6.33981994052134
branches,ElasticNet_weak,0.0563351277276147,7.572730990735942,6.467627622211023
